"ResponseId","LICENSE","AGE","GENDER","GENDER_OTHER_TEXT","ZIPCODE","COUNTY","COUNTY_OTHER_TEXT","INCOME","COSTS","FREQUENCY","DURATION","SKILL","REASONS_N","REASON_FUN","REASON_FOOD","REASON_SELL","REASON_CHARTER","REASON_OTHER","REASON_OTHER_TEXT","LOCATIONS_N","LOCATION_VESSEL","LOCATION_SHORE","LOCATION_PIER","ZONES_N","ZONE_1","ZONE_2","ZONE_3","ZONE_4","ZONE_5","ZONE_6","ZONE_7","ZONE_8","ZONE_9","ZONE_10","ZONE_11","ZONE_12","ZONE_13","ZONE_14","ZONE_15","ZONE_16","ZONE_17","ZONE_18","ZONE_19","ZONE_20","ZONE_21","ZONE_22","ZONE_23","ZONE_24","ZONE_25","ZONE_26","ZONE_27","ZONE_28","ZONE_29","ZONE_30","ZONE_31","ZONE_32","ZONE_33","ZONE_34","ZONE_35","ZONE_36","ZONE_37","ZONE_38","ZONE_39","ZONE_40","ZONE_41","ZONE_42","ZONE_43","ZONE_44","ZONE_45","ZONE_46","ZONE_47","ZONE_48","ZONE_49","ZONE_50","ZONE_51","ZONE_52","ZONE_53","ZONE_54","ZONE_55","ZONE_56","ZONE_57","ZONE_58","ZONE_59","ZONE_60","ZONE_61","ZONE_62","ZONE_63","ZONE_64","ZONE_65","ZONE_66","ZONE_67","ZONE_68","ZONE_69","ZONE_70","ZONE_71","ZONE_72","ZONE_73","ZONE_74","ZONE_75","ZONE_76","PRESSURES_N","PRESSURE_STORMS","PRESSURE_HABLOSS","PRESSURE_WQUALITY","PRESSURE_FISHPOP","PRESSURE_ANGLERS","PRESSURE_DEVELOP","PRESSURE_COSTS","PRESSURE_POLICY","SPECIES_OFTEN_N","SPECIES_SNOOK","SPECIES_SEATROUT","SPECIES_REDDRUM","SPECIES_TARPON","SPECIES_SHEEPSHEAD","SPECIES_SNAPPER","SPECIES_GROUPER","SPECIES_OTHER","SPECIES_OTHER_TEXT","HABITAT_SEAGRASS","HABITAT_HARDBTM","HABITAT_ARTREEF","HABITAT_RIVER","HABITAT_SHORELINE","HABITAT_INFRASTR","AR_RELIEF","AR_SIZE","AR_DEPTH","AR_COMPLEX","AR_MATERIAL_CONCRETE","AR_MATERIAL_PREFAB","AR_MATERIAL_ROCK","AR_MATERIAL_TIRE","CONCRETE_ATTRACTFISH","CONCRETE_WORSEWQ","CONCRETE_SEDSTABILIZE","CONCRETE_DAMAGEHAB","CONCRETE_RESTORETOOL","TIRE_ATTRACTFISH","TIRE_WORSEWQ","TIRE_SEDSTABILIZE","TIRE_DAMAGEHAB","TIRE_RESTORETOOL","FUNDING","AWARE","ACTION_MONITOR","ACTION_STABILIZE","ACTION_COVER","ACTION_REMOVEPART","ACTION_REMOVEALL"
"R_50xfLg5IFupKFff","Charter","45 - 54","Male",NA,"33626","Hillsborough",NA,"$100,000 or more",100,"Many times a week","5 - 9 years","Excellent",1,0,0,0,1,0,NA,1,1,0,0,16,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,1,0,1,0,3,"Always","Always","Always","Sometimes","Rarely","Rarely","Rarely","Sometimes","Triple tail","Often","Rarely","Rarely","Sometimes","Always","Sometimes","High","Medium","Moderate","Not sure","Sometimes","Not sure","Sometimes","Not sure","Strongly agree","Disagree","Somewhat agree","Disagree","Strongly agree","Somewhat disagree","Agree","Somewhat agree","Agree","Disagree","Neutral","No",5.13,9.85,3.69,9.87,10
"R_1TlQh4A7JfKS9dT","Charter","25 - 34","Male",NA,"33706","Pinellas",NA,"$25,000 or less",70,"About once a week","20 years or more","Excellent",1,0,0,0,1,0,NA,2,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,1,1,1,1,1,1,0,5,"Always","Always","Always","Often","Rarely","Rarely","Sometimes","Always","Jack Crevalle","Always","Never","Never","Rarely","Always","Always",NA,NA,NA,NA,NA,NA,NA,NA,"Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Supportive","No",10,10,10,0,0
"R_3eXHFP0LgzhR4ii","Charter","65 or older","Male",NA,"33707","Pinellas",NA,"$25,001 - $50,000",200,"Many times a week","20 years or more","Excellent",2,1,0,0,1,0,NA,1,1,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,1,0,1,0,3,"Often","Often","Sometimes","Always","Sometimes","Rarely","Never","Sometimes","Sharks","Often","Never","Never","Rarely","Often","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Disagree","Strongly agree","Disagree","Strongly agree","Somewhat disagree","Strongly agree","Disagree","Supportive","No",1.44,0,0,0,10
"R_7UfwJWJ3JMRc0mz","Charter","65 or older","Male",NA,"33556","Hillsborough",NA,"$100,000 or more",50,"Many times a week","20 years or more","Excellent",1,1,0,0,0,0,NA,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,4,"Sometimes","Always","Sometimes","Often","Sometimes","Often","Often","Rarely",NA,"Always","Sometimes","Rarely","Never","Often","Often","Moderate","Medium","Moderate","Moderate","Sometimes","Rarely","Sometimes","Sometimes","Strongly agree","Disagree","Agree","Disagree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Supportive","No",2.4,3.84,1.93,8.02,6.23
"R_6q9eQXqH4EEIHGp","Charter","55 - 64","Male",NA,"33582","Hillsborough",NA,"$100,000 or more",130,"Many times a week","20 years or more","Excellent",3,1,0,0,1,1,"Turbidity monitor for dredging operations for Tampa Bay Shipping channel dredge maintenance operations",1,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,1,1,1,1,1,0,0,5,"Often","Often","Often","Rarely","Sometimes","Often","Rarely","Often","Mackeral","Often","Often","Often","Often","Often","Often","High","Medium","Deep","Complex","Often","Rarely","Often","Not sure","Agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Supportive","No",1.95,2.33,2.48,9.34,8.2
"R_3Tnm2nBbHpBC6lz","Charter","25 - 34","Male",NA,"34249","Sarasota",NA,"$50,001 - $75,000",450,"About once a month","20 years or more","Excellent",1,0,0,0,1,0,NA,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,8,"Always","Always","Always","Always","Always","Always","Always","Always",NA,"Always","Always","Always","Sometimes","Always","Always","Not sure","Medium","Deep","Moderate","Always","Always","Always","Never","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Supportive","No",2,10,6.01,3.13,3.11
"R_1Jt5PeTYtEXPVbw","Charter","45 - 54","Male",NA,"33603","Hillsborough",NA,"$50,001 - $75,000",125,"Many times a week","20 years or more","Excellent",1,0,0,0,1,0,NA,1,1,0,0,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,1,0,1,0,5,"Often","Often","Often","Sometimes","Rarely","Often","Rarely","Often","Mackerel","Often","Rarely","Sometimes","Often","Often","Often","Moderate","Medium","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Never","Agree","Disagree","Agree","Somewhat disagree","Agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Supportive","No",1.79,10,1.63,0.74,10
"R_5nTLQaLi89rV5Br","Charter","35 - 44","Male",NA,"33709","Pinellas",NA,"$50,001 - $75,000",200,"Many times a week","20 years or more","Excellent",1,0,0,0,1,0,NA,1,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,4,0,0,0,1,1,1,1,0,3,"Often","Often","Often","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sharks","Often","Sometimes","Sometimes","Rarely","Often","Sometimes","Moderate","Not sure","Moderate","Not sure","Sometimes","Not sure","Sometimes","Not sure","Strongly agree","Strongly disagree","Strongly agree","Disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Supportive","Yes",5.44,6.34,10,7.69,1.72
"R_7NfCEPkVpZiNNVn","Charter","65 or older","Male",NA,"34210","Manatee",NA,"$100,000 or more",200,"Many times a week","10 - 19 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,1,1,1,0,1,5,"Often","Often","Often","Sometimes","Often","Often","Sometimes","Never",NA,"Often","Often","Often","Rarely","Always","Rarely","Moderate","Large","Deep","Moderate","Sometimes","Not sure","Often","Not sure","Strongly agree","Disagree","Agree","Disagree","Agree","Somewhat disagree","Strongly agree","Disagree","Strongly agree","Disagree","Supportive","No",1.8,0,10,0.33,10
"R_6WxnUtpYZv9m0t2","Charter","35 - 44","Male",NA,"33704","Pinellas",NA,"$100,000 or more",200,"Many times a week","20 years or more","Excellent",3,1,1,0,1,0,NA,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,7,1,1,1,1,1,1,1,0,6,"Often","Often","Often","Often","Rarely","Sometimes","Often","Often","Cobia","Often","Often","Often","Sometimes","Often","Often","Moderate","Large","Deep","Complex","Often","Sometimes","Sometimes","Not sure","Somewhat agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Supportive","No",5.46,0.8,7.24,4.36,7.46
