StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,TYPE,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,CONSENT,FREQUENCY,DURATION,REASONS,REASONS_5_TEXT,LOCATION,SKILL,MAP_1,MAP_2,MAP_3,MAP_4,MAP_5,MAP_6,MAP_7,MAP_8,MAP_9,MAP_10,MAP_11,MAP_12,MAP_13,MAP_14,MAP_15,MAP_16,MAP_17,MAP_18,MAP_19,MAP_20,MAP_21,MAP_22,MAP_23,MAP_24,MAP_25,MAP_26,MAP_27,MAP_28,MAP_29,MAP_30,MAP_31,MAP_32,MAP_33,MAP_34,MAP_35,MAP_36,MAP_37,MAP_38,MAP_39,MAP_40,MAP_41,MAP_42,MAP_43,MAP_44,MAP_45,MAP_46,MAP_47,MAP_48,MAP_49,MAP_50,MAP_51,MAP_52,MAP_53,MAP_54,MAP_55,MAP_56,MAP_57,MAP_58,MAP_59,MAP_60,MAP_61,MAP_62,MAP_63,MAP_64,MAP_65,MAP_66,MAP_67,MAP_68,MAP_69,MAP_70,MAP_71,MAP_72,MAP_73,MAP_74,MAP_75,MAP_76,PRESSURES_1,PRESSURES_2,PRESSURES_3,PRESSURES_4,PRESSURES_5,PRESSURES_6,PRESSURES_7,PRESSURES_8,HABITATS_1,HABITATS_2,HABITATS_3,HABITATS_4,HABITATS_5,HABITATS_6,SPECIES_1,SPECIES_2,SPECIES_3,SPECIES_4,SPECIES_5,SPECIES_6,SPECIES_7,SPECIES_8,SPECIES_8_TEXT,FUNDING,CONCRETE_1,CONCRETE_2,CONCRETE_3,CONCRETE_4,CONCRETE_5,TIRES_1,TIRES_2,TIRES_3,TIRES_4,TIRES_5,ACTION_1,ACTION_2,ACTION_3,ACTION_4,ACTION_5,AWARE,AGE,GENDER,GENDER_3_TEXT,ZIPCODE,COUNTY,COUNTY_7_TEXT,INCOME,COSTS,AR_RELIEF,AR_SIZE,AR_DEPTH,AR_COMPLEX,AR_MATERIAL_1,AR_MATERIAL_2,AR_MATERIAL_3,AR_MATERIAL_4
7/7/2026 19:03,7/7/2026 19:11,IP Address,100,479,TRUE,7/7/2026 19:11,R_50xfLg5IFupKFff,email,Charter,EN,1,,I agree,Many times a week,5 - 9 years,Providing chartered fishing trips for other people to fish,,"A boat, kayak, or canoe",Excellent,On,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,Yes,Yes,Yes,Yes,No,Yes,No,Sometimes,Often,Always,Rarely,Rarely,Sometimes,Always,Always,Always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Triple tail ,Neutral,Strongly agree,Disagree,Somewhat agree,Disagree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Agree,Disagree,5.13,9.85,3.69,9.87,10,No,45 - 54,Male,,33626,Hillsborough,,"$100,000 or more",100,"High
(5 ft. or more)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)",Not sure,Sometimes,Not sure,Sometimes,Not sure
7/7/2026 19:08,7/7/2026 19:16,IP Address,100,431,TRUE,7/7/2026 19:16,R_1TlQh4A7JfKS9dT,email,Charter,EN,1,,I agree,About once a week,20 years or more,Providing chartered fishing trips for other people to fish,,"The shoreline or bank of a water body,A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Rarely,Always,Always,Never,Never,Always,Always,Always,Always,Often,Rarely,Rarely,Sometimes,Always,Jack Crevalle ,Supportive,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,10,10,10,0,0,No,25 - 34,Male,,33706,Pinellas,,"$25,000 or less",70,,,,,,,,
7/7/2026 19:19,7/7/2026 19:29,IP Address,100,611,TRUE,7/7/2026 19:29,R_1gLsrzA7LlouN6F,email,Charter,EN,1,,I agree,Many times a week,20 years or more,Providing chartered fishing trips for other people to fish,,"A boat, kayak, or canoe",Excellent,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sometimes,Often,Often,Often,Often,Often,Always,Always,Always,Often,Often,Often,Often,Often,,Supportive,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat agree,0.75,10,10,1.49,1.46,No,25 - 34,Male,,33618,Hillsborough,,"$25,000 or less",,"Moderate
(2 - 4 ft.)","Large
(1 acre or more)","Deep
(20 ft. or more)","Complex
(lots of holes, edges, and hiding spots)",Not sure,Not sure,Not sure,Not sure
7/7/2026 19:23,7/7/2026 19:34,IP Address,100,641,TRUE,7/7/2026 19:34,R_3eXHFP0LgzhR4ii,email,Charter,EN,1,,I agree,Many times a week,20 years or more,"Fishing for fun, sport, or relaxation,Providing chartered fishing trips for other people to fish",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Rarely,Often,Often,Never,Never,Sometimes,Often,Often,Sometimes,Always,Sometimes,Rarely,Never,Sometimes,Sharks,Supportive,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Somewhat disagree,Strongly agree,Disagree,1.44,0,0,0,10,No,65 or older,Male,,33707,Pinellas,,"$25,001 - $50,000",200,,,,,,,,
7/7/2026 19:39,7/7/2026 19:51,IP Address,100,715,TRUE,7/7/2026 19:51,R_7UfwJWJ3JMRc0mz,email,Charter,EN,1,,I agree,Many times a week,20 years or more,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,Yes,Yes,Yes,No,No,No,No,Never,Always,Often,Sometimes,Rarely,Often,Sometimes,Always,Sometimes,Often,Sometimes,Often,Often,Rarely,,Supportive,Strongly agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,2.4,3.84,1.93,8.02,6.23,No,65 or older,Male,,33556,Hillsborough,,"$100,000 or more",50,"Moderate
(2 - 4 ft.)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Sometimes,Rarely,Sometimes,Sometimes
7/7/2026 19:49,7/7/2026 20:04,IP Address,100,897,TRUE,7/7/2026 20:04,R_6q9eQXqH4EEIHGp,email,Charter,EN,0.8999999761581421,,I agree,Many times a week,20 years or more,"Fishing for fun, sport, or relaxation,Providing chartered fishing trips for other people to fish,Something else:",Turbidity monitor for dredging operations for Tampa Bay Shipping channel dredge maintenance operations ,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,Off,On,On,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Often,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,Sometimes,Often,Rarely,Often,Mackeral,Supportive,Agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,1.95,2.33,2.48,9.34,8.2,No,55 - 64,Male,,33582,Hillsborough,,"$100,000 or more",130,"High
(5 ft. or more)","Medium
(less than 1 acre)","Deep
(20 ft. or more)","Complex
(lots of holes, edges, and hiding spots)",Often,Rarely,Often,Not sure
7/7/2026 20:14,7/7/2026 20:20,IP Address,100,348,TRUE,7/7/2026 20:20,R_3Tnm2nBbHpBC6lz,email,Charter,EN,1,,I agree,About once a month,20 years or more,Providing chartered fishing trips for other people to fish,,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,On,On,On,On,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,No,No,No,No,Yes,Yes,No,No,Sometimes,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,,Supportive,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,2,10,6.01,3.13,3.11,No,25 - 34,Male,,34249,Sarasota,,"$50,001 - $75,000",450,Not sure,"Medium
(less than 1 acre)","Deep
(20 ft. or more)","Moderate
(some nooks and crannies)",Always,Always,Always,Never
7/7/2026 20:36,7/7/2026 20:47,IP Address,100,637,TRUE,7/7/2026 20:47,R_1Jt5PeTYtEXPVbw,email,Charter,EN,1,,I agree,Many times a week,20 years or more,Providing chartered fishing trips for other people to fish,,"A boat, kayak, or canoe",Excellent,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Often,Often,Often,Rarely,Sometimes,Often,Often,Often,Often,Sometimes,Rarely,Often,Rarely,Often,Mackerel ,Supportive,Agree,Disagree,Agree,Somewhat disagree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,1.79,10,1.63,0.74,10,No,45 - 54,Male,,33603,Hillsborough,,"$50,001 - $75,000",125,"Moderate
(2 - 4 ft.)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Sometimes,Sometimes,Sometimes,Never
8/7/2026 7:48,8/7/2026 7:56,IP Address,100,469,TRUE,8/7/2026 7:56,R_5nTLQaLi89rV5Br,email,Charter,EN,1,,I agree,Many times a week,20 years or more,Providing chartered fishing trips for other people to fish,,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,No,No,No,Yes,Yes,Yes,Yes,No,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sharks,Supportive,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,5.44,6.34,10,7.69,1.72,Yes,35 - 44,Male,,33709,Pinellas,,"$50,001 - $75,000",200,"Moderate
(2 - 4 ft.)",Not sure,"Moderate
(10 - 20 ft.)",Not sure,Sometimes,Not sure,Sometimes,Not sure
8/7/2026 10:20,8/7/2026 10:29,IP Address,100,531,TRUE,8/7/2026 10:29,R_7NfCEPkVpZiNNVn,email,Charter,EN,1,,I agree,Many times a week,10 - 19 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,No,No,No,Yes,Yes,Yes,No,Yes,Rarely,Often,Always,Often,Often,Rarely,Often,Often,Often,Sometimes,Often,Often,Sometimes,Never,,Supportive,Strongly agree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Strongly agree,Disagree,Strongly agree,Disagree,1.8,0,10,0.33,10,No,65 or older,Male,,34210,Manatee,,"$100,000 or more",200,"Moderate
(2 - 4 ft.)","Large
(1 acre or more)","Deep
(20 ft. or more)","Moderate
(some nooks and crannies)",Sometimes,Not sure,Often,Not sure
