StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,TYPE,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,CONSENT,FREQUENCY,DURATION,REASONS,REASONS_5_TEXT,LOCATION,SKILL,MAP_1,MAP_2,MAP_3,MAP_4,MAP_5,MAP_6,MAP_7,MAP_8,MAP_9,MAP_10,MAP_11,MAP_12,MAP_13,MAP_14,MAP_15,MAP_16,MAP_17,MAP_18,MAP_19,MAP_20,MAP_21,MAP_22,MAP_23,MAP_24,MAP_25,MAP_26,MAP_27,MAP_28,MAP_29,MAP_30,MAP_31,MAP_32,MAP_33,MAP_34,MAP_35,MAP_36,MAP_37,MAP_38,MAP_39,MAP_40,MAP_41,MAP_42,MAP_43,MAP_44,MAP_45,MAP_46,MAP_47,MAP_48,MAP_49,MAP_50,MAP_51,MAP_52,MAP_53,MAP_54,MAP_55,MAP_56,MAP_57,MAP_58,MAP_59,MAP_60,MAP_61,MAP_62,MAP_63,MAP_64,MAP_65,MAP_66,MAP_67,MAP_68,MAP_69,MAP_70,MAP_71,MAP_72,MAP_73,MAP_74,MAP_75,MAP_76,PRESSURES_1,PRESSURES_2,PRESSURES_3,PRESSURES_4,PRESSURES_5,PRESSURES_6,PRESSURES_7,PRESSURES_8,HABITATS_1,HABITATS_2,HABITATS_3,HABITATS_4,HABITATS_5,HABITATS_6,SPECIES_1,SPECIES_2,SPECIES_3,SPECIES_4,SPECIES_5,SPECIES_6,SPECIES_7,SPECIES_8,SPECIES_8_TEXT,FUNDING,CONCRETE_1,CONCRETE_2,CONCRETE_3,CONCRETE_4,CONCRETE_5,TIRES_1,TIRES_2,TIRES_3,TIRES_4,TIRES_5,ACTION_1,ACTION_2,ACTION_3,ACTION_4,ACTION_5,AWARE,AGE,GENDER,GENDER_3_TEXT,ZIPCODE,COUNTY,COUNTY_7_TEXT,INCOME,COSTS,AR_RELIEF,AR_SIZE,AR_DEPTH,AR_COMPLEX,AR_MATERIAL_1,AR_MATERIAL_2,AR_MATERIAL_3,AR_MATERIAL_4
7/7/2026 19:20,7/7/2026 19:24,IP Address,100,267,TRUE,7/7/2026 19:24,R_5yONlUGOC0fw4kV,email,General,EN,0.8999999761581421,,I agree,About once a week,10 - 19 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,No,No,No,Yes,Yes,Yes,Yes,No,Never,Often,Often,Often,Sometimes,Often,Sometimes,Often,Rarely,Never,Rarely,Rarely,Rarely,Never,,Supportive,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0.76,1.27,0.99,8.5,9.69,No,25 - 34,Male,,33774,Pinellas,,"$75,001 - $100,000",,"High
(5 ft. or more)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)","Simple
(mostly flat or smooth)",Often,Not sure,Often,Not sure
7/7/2026 19:25,7/7/2026 19:34,IP Address,100,550,TRUE,7/7/2026 19:34,R_1R7wvZSvH3cgOTv,email,General,EN,1,,I agree,About once a month,10 - 19 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,Yes,Yes,Yes,No,No,No,Rarely,Often,Often,Often,Sometimes,Often,Often,Often,Often,Rarely,Often,Often,Sometimes,Rarely,,Supportive,Agree,Strongly disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat agree,2.92,2.89,1.85,8.2,10,No,55 - 64,Male,,33609,Hillsborough,,"$100,000 or more",200,"Moderate
(2 - 4 ft.)","Medium
(less than 1 acre)","Deep
(20 ft. or more)","Moderate
(some nooks and crannies)",Sometimes,Sometimes,Often,Never
7/7/2026 19:31,7/7/2026 19:39,IP Address,100,446,TRUE,7/7/2026 19:39,R_5SuhmIV7pSwEfgW,email,General,EN,1,,I agree,A few times,5 - 9 years,"Fishing for fun, sport, or relaxation",,"The shoreline or bank of a water body,A fishing pier or boardwalk",Fair,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,No,No,No,No,No,No,No,No,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,,Supportive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,0.91,7,3.73,10,10,No,55 - 64,Male,,33545,Pasco,,"$75,001 - $100,000",50,"High
(5 ft. or more)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Sometimes,Sometimes,Sometimes,Not sure
7/7/2026 19:37,7/7/2026 19:43,IP Address,100,372,TRUE,7/7/2026 19:43,R_5B2nIP983xneWtS,email,General,EN,1,,I agree,About once a week,1 - 4 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,No,Yes,No,No,No,Yes,No,Yes,Often,Often,Often,Rarely,Sometimes,Often,Always,Always,Always,Always,Sometimes,Always,Often,Sometimes,Spanish Mackerel,Supportive,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4.03,4.96,7.06,5.08,5.1,No,45 - 54,Male,,34219,Manatee,,"$100,000 or more",300,Not sure,"Large
(1 acre or more)","Deep
(20 ft. or more)","Moderate
(some nooks and crannies)",Often,Not sure,Sometimes,Not sure
7/7/2026 19:37,7/7/2026 19:43,IP Address,100,349,TRUE,7/7/2026 19:43,R_6gvkShk4EXYMIDS,email,General,EN,1,,I agree,About once a week,1 - 4 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,Yes,Yes,No,No,No,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,,Supportive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,5.73,5.7,0.59,0.6,0.35,No,18 - 24,Male,,33823,Polk,,"$75,001 - $100,000",150,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
7/7/2026 19:40,7/7/2026 19:44,IP Address,100,238,TRUE,7/7/2026 19:44,R_3g0f4AYXjiYIV1W,email,General,EN,1,,I agree,A few times,20 years or more,"Fishing for fun, sport, or relaxation",,"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe",Fair,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,On,Off,On,On,On,On,Off,Off,Off,Off,No,No,No,No,Yes,No,No,No,Often,Often,Often,Rarely,Never,Often,Often,Often,Sometimes,Never,Sometimes,Sometimes,Sometimes,Often,Lady fish ,Supportive,Agree,Disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Disagree,Disagree,4.95,4.98,5.14,5.33,9.52,No,35 - 44,Male,,33880,Polk,,"$100,000 or more",50,,,,,,,,
7/7/2026 19:53,7/7/2026 20:01,IP Address,100,515,TRUE,7/7/2026 20:01,R_6ANzZ3WN33U9j6K,email,General,EN,1,,I agree,About once a month,1 - 4 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,No,Yes,No,No,No,Sometimes,Often,Often,Rarely,Rarely,Rarely,Often,Often,Often,Sometimes,Never,Rarely,Never,Rarely,Mackerel ,Supportive,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,5.3,5.4,5.55,7.24,3.14,No,45 - 54,Male,,33579,Hillsborough,,"$100,000 or more",20,"Low
(1 ft. or less)","Small
(several square yards)","Moderate
(10 - 20 ft.)","Simple
(mostly flat or smooth)",Rarely,Rarely,Rarely,Never
7/7/2026 20:07,7/7/2026 20:15,IP Address,100,467,TRUE,7/7/2026 20:15,R_5pmJKcORYTWyYvy,email,General,EN,1,,I agree,About once a week,5 - 9 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,Yes,Yes,No,No,No,Rarely,Often,Always,Rarely,Rarely,Often,Always,Sometimes,Always,Rarely,Never,Rarely,Never,Never,,Neutral,Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,5.06,7.51,5.01,5.81,2.44,No,25 - 34,Male,,33565,Hillsborough,,"$100,000 or more",50,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
7/7/2026 20:15,7/7/2026 20:21,IP Address,100,320,TRUE,7/7/2026 20:21,R_1iOsE5CWaZw6Lm4,email,General,EN,1,,I agree,About once a week,1 - 4 years,"Fishing for fun, sport, or relaxation,Fishing for your own food",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,No,No,No,Yes,Yes,No,No,Often,Often,Often,Often,Often,Often,Always,Always,Always,Rarely,Often,Often,Often,Sometimes,Flounder ,Supportive,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,7.97,7.91,7.94,5.4,2.68,No,25 - 34,Male,,33803,Polk,,"$50,001 - $75,000",100,Not sure,Not sure,"Deep
(20 ft. or more)","Complex
(lots of holes, edges, and hiding spots)",Not sure,Not sure,Not sure,Not sure
7/7/2026 20:09,7/7/2026 20:23,IP Address,100,824,TRUE,7/7/2026 20:23,R_36rPmft2nq5QlBn,email,General,EN,0.8999999761581421,,I agree,About once a month,1 - 4 years,"Fishing for fun, sport, or relaxation,Fishing for your own food",,"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,No,No,No,Yes,No,Yes,Yes,Sometimes,Often,Often,Always,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Pompano,Supportive,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,1.8,4.75,6.83,6.08,4.75,No,55 - 64,Male,,33547,Hillsborough,,"$100,000 or more",400,"High
(5 ft. or more)","Medium
(less than 1 acre)","Deep
(20 ft. or more)",Not sure,Sometimes,Sometimes,Often,Not sure
