StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,TYPE,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,CONSENT,FREQUENCY,DURATION,REASONS,REASONS_5_TEXT,LOCATION,SKILL,MAP_1,MAP_2,MAP_3,MAP_4,MAP_5,MAP_6,MAP_7,MAP_8,MAP_9,MAP_10,MAP_11,MAP_12,MAP_13,MAP_14,MAP_15,MAP_16,MAP_17,MAP_18,MAP_19,MAP_20,MAP_21,MAP_22,MAP_23,MAP_24,MAP_25,MAP_26,MAP_27,MAP_28,MAP_29,MAP_30,MAP_31,MAP_32,MAP_33,MAP_34,MAP_35,MAP_36,MAP_37,MAP_38,MAP_39,MAP_40,MAP_41,MAP_42,MAP_43,MAP_44,MAP_45,MAP_46,MAP_47,MAP_48,MAP_49,MAP_50,MAP_51,MAP_52,MAP_53,MAP_54,MAP_55,MAP_56,MAP_57,MAP_58,MAP_59,MAP_60,MAP_61,MAP_62,MAP_63,MAP_64,MAP_65,MAP_66,MAP_67,MAP_68,MAP_69,MAP_70,MAP_71,MAP_72,MAP_73,MAP_74,MAP_75,MAP_76,PRESSURES_1,PRESSURES_2,PRESSURES_3,PRESSURES_4,PRESSURES_5,PRESSURES_6,PRESSURES_7,PRESSURES_8,HABITATS_1,HABITATS_2,HABITATS_3,HABITATS_4,HABITATS_5,HABITATS_6,SPECIES_1,SPECIES_2,SPECIES_3,SPECIES_4,SPECIES_5,SPECIES_6,SPECIES_7,SPECIES_8,SPECIES_8_TEXT,FUNDING,CONCRETE_1,CONCRETE_2,CONCRETE_3,CONCRETE_4,CONCRETE_5,TIRES_1,TIRES_2,TIRES_3,TIRES_4,TIRES_5,ACTION_1,ACTION_2,ACTION_3,ACTION_4,ACTION_5,AWARE,AGE,GENDER,GENDER_3_TEXT,ZIPCODE,COUNTY,COUNTY_7_TEXT,INCOME,COSTS,AR_RELIEF,AR_SIZE,AR_DEPTH,AR_COMPLEX,AR_MATERIAL_1,AR_MATERIAL_2,AR_MATERIAL_3,AR_MATERIAL_4
7/7/2026 19:09,7/7/2026 19:15,IP Address,100,381,TRUE,7/7/2026 19:15,R_6ONZfYmyyDYGQ2l,email,Saltwater,EN,1,,I agree,A few times,10 - 19 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Good,On,On,On,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Never,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Rarely,Rarely,Never,Never,,Supportive,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,0.66,3.22,0.43,7.1,9.96,No,35 - 44,Male,,33624,Hillsborough,,"$100,000 or more",150,"Moderate
(2 - 4 ft.)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)",Not sure,Sometimes,Rarely,Often,Never
7/7/2026 19:08,7/7/2026 19:17,IP Address,100,584,TRUE,7/7/2026 19:17,R_5k4yE5D4hM6a50K,email,Saltwater,EN,1,,I agree,About once a month,20 years or more,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,On,Yes,No,No,Yes,Yes,Yes,No,No,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,Often,Rarely,Often,Sometimes,Sometimes,Cobia,Supportive,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Disagree,0.68,0.7,0.77,1.01,10,No,45 - 54,Male,,34209,Manatee,,"$100,000 or more",250,"Moderate
(2 - 4 ft.)","Small
(several square yards)","Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Sometimes,Sometimes,Often,Rarely
7/7/2026 19:11,7/7/2026 19:25,IP Address,100,864,TRUE,7/7/2026 19:25,R_1K3lVICE8jINq2F,email,Saltwater,EN,1,,I agree,About once a week,10 - 19 years,"Fishing for fun, sport, or relaxation,Fishing for your own food",,"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe",Fair,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,No,No,No,Yes,Yes,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Never,Often,Often,Rarely,Never,Na,Supportive,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,3.02,10,9.19,7.35,7.1,No,45 - 54,Male,,33598,Hillsborough,,"$50,001 - $75,000",75,"Moderate
(2 - 4 ft.)","Medium
(less than 1 acre)","Moderate
(10 - 20 ft.)",Not sure,Not sure,Not sure,Sometimes,Not sure
7/7/2026 19:14,7/7/2026 19:27,IP Address,100,761,TRUE,7/7/2026 19:27,R_7DexmAbZacHqv2V,email,Saltwater,EN,1,,I agree,A few times,20 years or more,"Fishing for fun, sport, or relaxation",,"A fishing pier or boardwalk,A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,On,On,Off,On,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Never,Sometimes,Often,Often,Often,"Mackerel, Jack, Pompano",Supportive,Agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Disagree,0.87,10,10,10,10,No,45 - 54,Male,,34203,Manatee,,"$100,000 or more",500,Not sure,"Small
(several square yards)","Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Often,Not sure,Often,Never
7/7/2026 19:11,7/7/2026 19:27,IP Address,100,973,TRUE,7/7/2026 19:27,R_1I9yFep3Uk26M9w,email,Saltwater,EN,1,,I agree,Many times a week,1 - 4 years,"Fishing for fun, sport, or relaxation",,"The shoreline or bank of a water body,A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,No,Yes,Yes,Yes,Yes,Never,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Never,Often,Often,Always,Often,,Supportive,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Somewhat agree,Strongly disagree,Agree,Disagree,10,10,10,10,10,Yes,65 or older,Male,,33611,Hillsborough,,"$75,001 - $100,000",50,"High
(5 ft. or more)","Large
(1 acre or more)","Deep
(20 ft. or more)","Complex
(lots of holes, edges, and hiding spots)",Often,Sometimes,Sometimes,Not sure
7/7/2026 19:23,7/7/2026 19:27,IP Address,100,244,TRUE,7/7/2026 19:27,R_6cZdMaWznpG9nCe,email,Saltwater,EN,1,,I agree,Many times a week,1 - 4 years,"Fishing for fun, sport, or relaxation",,"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe",Excellent,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,On,On,On,On,On,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Yes,No,Yes,Yes,Yes,Yes,No,No,Always,Often,Always,Often,Often,Always,Often,Often,Often,Rarely,Often,Often,Often,Rarely,None,Supportive,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,10,10,1.57,7.39,1.73,No,25 - 34,Male,,34219,Manatee,,"$100,000 or more",,"High
(5 ft. or more)",Not sure,Not sure,Not sure,Often,Sometimes,Always,Not sure
7/7/2026 19:28,7/7/2026 19:35,IP Address,100,374,TRUE,7/7/2026 19:35,R_7kUFM4tAYA48uw4,email,Saltwater,EN,1,,I agree,About once a month,1 - 4 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Good,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,No,No,Yes,Yes,Yes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,,Supportive,Agree,Disagree,Agree,Disagree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,3.02,8.03,8.45,10,7.47,No,35 - 44,Male,,33572,Hillsborough,,"$100,000 or more",750,Not sure,Not sure,"Moderate
(10 - 20 ft.)",Not sure,Sometimes,Not sure,Sometimes,Not sure
7/7/2026 19:20,7/7/2026 19:37,IP Address,100,1048,TRUE,7/7/2026 19:37,R_5zvzjP72Yws3u7r,email,Saltwater,EN,1,,I agree,About once a month,1 - 4 years,"Fishing for fun, sport, or relaxation,Fishing for your own food",,"The shoreline or bank of a water body,A fishing pier or boardwalk",Good,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,No,No,No,Yes,Yes,No,Yes,No,Sometimes,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Often,Never,Sometimes,"Redfish,Mangrove",Supportive,Agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,4.02,6.68,6.62,4.42,2.61,No,55 - 64,Male,,33566,Hillsborough,,"$25,001 - $50,000",200,Not sure,Not sure,"Moderate
(10 - 20 ft.)","Moderate
(some nooks and crannies)",Not sure,Not sure,Often,Not sure
7/7/2026 19:38,7/7/2026 19:42,IP Address,100,273,TRUE,7/7/2026 19:42,R_3CCt0UNovOG1PxI,email,Saltwater,EN,1,,I agree,About once a month,1 - 4 years,"Fishing for fun, sport, or relaxation,Fishing for your own food",,"The shoreline or bank of a water body,A fishing pier or boardwalk",Fair,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,No,No,No,Yes,Yes,No,Yes,No,Rarely,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Never,Shark ,Supportive,Somewhat agree,Agree,Agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4.99,5.46,5.74,2.83,1.93,Yes,25 - 34,Male,,33884,Polk,,"$25,001 - $50,000",,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
7/7/2026 19:36,7/7/2026 19:43,IP Address,100,416,TRUE,7/7/2026 19:43,R_1kHxegw1E4ZjHdB,email,Saltwater,EN,1,,I agree,Many times a week,10 - 19 years,"Fishing for fun, sport, or relaxation",,"A boat, kayak, or canoe",Excellent,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Yes,No,Yes,Yes,No,No,No,No,Rarely,Often,Always,Never,Never,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,5.13,0.27,0.46,0.59,1.04,No,35 - 44,Female,,34677,Pinellas,,"$50,001 - $75,000",150,,,,,,,,
